CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd,DBN
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,ENGLISH,English 11,-,43.0,2.0,21.5,17.0,26.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,ENGLISH,English 12,-,38.0,2.0,19.0,13.0,25.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,ENGLISH,Other English,-,127.0,7.0,18.1,12.0,24.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,MATH,Integrated Algebra,-,71.0,4.0,17.8,13.0,23.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,MATH,Geometry,-,100.0,4.0,25.0,19.0,29.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,MATH,Trigonometry,-,81.0,4.0,20.3,14.0,26.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SCIENCE,Earth Science,-,148.0,6.0,24.7,20.0,28.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SCIENCE,Living Environment,-,175.0,8.0,21.9,18.0,28.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SCIENCE,Chemistry,-,116.0,5.0,23.2,12.0,27.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SCIENCE,Physics,-,43.0,2.0,21.5,21.0,22.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SCIENCE,Other Science,-,97.0,4.0,24.3,22.0,26.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,190.0,10.0,19.0,10.0,29.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,85.0,4.0,21.3,17.0,25.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,87.0,4.0,21.8,17.0,26.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,51.0,2.0,25.5,23.0,28.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,,,,,,,,,,,,11.9,2,02M545
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,ENGLISH,English 10,-,122.0,7.0,17.4,15.0,21.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,ENGLISH,English 11,-,75.0,3.0,25.0,25.0,25.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,ENGLISH,English 12,-,70.0,3.0,23.3,20.0,28.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,ENGLISH,Other English,-,43.0,2.0,21.5,20.0,23.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,MATH,Integrated Algebra,-,170.0,10.0,17.0,11.0,22.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,MATH,Geometry,-,77.0,4.0,19.3,13.0,23.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,MATH,Trigonometry,-,30.0,2.0,15.0,14.0,16.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,MATH,Math A,-,44.0,3.0,14.7,13.0,16.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,SCIENCE,Living Environment,-,178.0,9.0,19.8,13.0,24.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,SCIENCE,Chemistry,-,52.0,3.0,17.3,15.0,20.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,SCIENCE,Physics,-,15.0,1.0,15.0,15.0,15.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,SCIENCE,Other Science,-,118.0,7.0,16.9,11.0,22.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,374.0,19.0,19.7,12.0,26.0,STARS,,2,02M550
2,M,M550,Liberty High School Academy for Newcomers,,,,,,,,,,,,13.1,2,02M550
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,ENGLISH,English 9,-,99.0,4.0,24.8,20.0,27.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,ENGLISH,English 10,-,29.0,1.0,29.0,29.0,29.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,ENGLISH,English 11,-,16.0,1.0,16.0,16.0,16.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,ENGLISH,English 12,-,50.0,2.0,25.0,21.0,29.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,ENGLISH,Other English,-,156.0,7.0,22.3,17.0,29.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,MATH,Integrated Algebra,-,88.0,4.0,22.0,19.0,25.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,MATH,Geometry,-,101.0,4.0,25.3,24.0,28.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,MATH,Trigonometry,-,50.0,2.0,25.0,22.0,28.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,MATH,Other Math,-,92.0,4.0,23.0,20.0,30.0,STARS,,2,02M551
2,M,M551,The Urban Assembly New York Harbor School,09-12,GEN ED,SCIENCE,Earth Science,-,28.0,1.0,28.0,28.0,28.0,STARS,,2,02M551
