CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd,DBN
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,ENGLISH,English 9,-,352.0,13.0,27.1,13.0,39.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,ENGLISH,English 10,-,191.0,6.0,31.8,22.0,35.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,ENGLISH,English 11,-,282.0,10.0,28.2,22.0,39.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,ENGLISH,English 12,-,98.0,3.0,32.7,29.0,38.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,ENGLISH,Other English,-,119.0,6.0,19.8,10.0,34.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,MATH,Integrated Algebra,-,142.0,5.0,28.4,21.0,32.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,MATH,Geometry,-,250.0,8.0,31.3,17.0,36.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,MATH,Other Math,-,92.0,4.0,23.0,20.0,29.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SCIENCE,Earth Science,-,190.0,6.0,31.7,25.0,40.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SCIENCE,Living Environment,-,541.0,19.0,28.5,13.0,38.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SCIENCE,Chemistry,-,484.0,16.0,30.3,16.0,37.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SCIENCE,Physics,-,575.0,22.0,26.1,18.0,35.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SCIENCE,Other Science,-,284.0,13.0,21.8,13.0,46.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,279.0,10.0,27.9,13.0,37.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,230.0,8.0,28.8,20.0,35.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,108.0,4.0,27.0,21.0,31.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,366.0,15.0,24.4,15.0,34.0,STARS,,17,17K590
17,K,K590,Medgar Evers College Preparatory School,,,,,,,,,,,,22.2,17,17K590
17,K,K600,Clara Barton High School,09-12,GEN ED,ENGLISH,English 9,-,291.0,11.0,26.5,16.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,ENGLISH,English 10,-,379.0,14.0,27.1,12.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,ENGLISH,English 11,-,364.0,12.0,30.3,24.0,34.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,ENGLISH,English 12,-,361.0,12.0,30.1,22.0,51.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,ENGLISH,Other English,-,162.0,5.0,32.4,28.0,36.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,MATH,Integrated Algebra,-,579.0,22.0,26.3,15.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,MATH,Geometry,-,493.0,17.0,29.0,20.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,MATH,Trigonometry,-,165.0,5.0,33.0,32.0,34.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,MATH,Other Math,-,32.0,1.0,32.0,32.0,32.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SCIENCE,Earth Science,-,667.0,23.0,29.0,12.0,34.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SCIENCE,Living Environment,-,828.0,32.0,25.9,11.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SCIENCE,Chemistry,-,333.0,12.0,27.8,21.0,34.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SCIENCE,Physics,-,135.0,4.0,33.8,33.0,34.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SCIENCE,Other Science,-,363.0,12.0,30.3,23.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,939.0,36.0,26.1,11.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,358.0,12.0,29.8,27.0,34.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,311.0,10.0,31.1,18.0,51.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,26.0,1.0,26.0,26.0,26.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,ENGLISH,English 9,-,42.0,2.0,21.0,19.0,23.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,ENGLISH,English 10,-,33.0,1.0,33.0,33.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,ENGLISH,English 11,-,33.0,1.0,33.0,33.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,ENGLISH,English 12,-,28.0,1.0,28.0,28.0,28.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,ENGLISH,Other English,-,60.0,2.0,30.0,20.0,40.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,MATH,Integrated Algebra,-,79.0,3.0,26.3,20.0,32.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,MATH,Geometry,-,34.0,1.0,34.0,34.0,34.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,SCIENCE,Living Environment,-,127.0,5.0,25.4,14.0,30.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,111.0,4.0,27.8,20.0,33.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,CTT,SOCIAL STUDIES,Participation in Government,-,21.0,1.0,21.0,21.0,21.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,09-12,SPEC ED,SCIENCE,Living Environment,-,27.0,2.0,13.5,12.0,15.0,STARS,,17,17K600
17,K,K600,Clara Barton High School,,,,,,,,,,,,16.2,17,17K600
17,K,K625,Paul Robeson High School,09-12,GEN ED,ENGLISH,English 9,-,26.0,2.0,13.0,13.0,13.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,ENGLISH,English 10,-,138.0,6.0,23.0,10.0,34.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,ENGLISH,English 11,-,116.0,4.0,29.0,24.0,32.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,ENGLISH,English 12,-,208.0,8.0,26.0,17.0,35.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,ENGLISH,Other English,-,25.0,2.0,12.5,12.0,13.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,MATH,Integrated Algebra,-,136.0,5.0,27.2,14.0,36.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,MATH,Geometry,-,111.0,5.0,22.2,14.0,29.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,MATH,Trigonometry,-,24.0,1.0,24.0,24.0,24.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,MATH,Math A,-,23.0,1.0,23.0,23.0,23.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,SCIENCE,Earth Science,-,137.0,6.0,22.8,19.0,26.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,SCIENCE,Living Environment,-,207.0,8.0,25.9,17.0,35.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,SCIENCE,Other Science,-,24.0,1.0,24.0,24.0,24.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,444.0,15.0,29.6,15.0,36.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,89.0,3.0,29.7,24.0,33.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,SOCIAL STUDIES,Economics,-,98.0,3.0,32.7,30.0,34.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,67.0,2.0,33.5,33.0,34.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,CTT,ENGLISH,English 10,-,34.0,1.0,34.0,34.0,34.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,CTT,ENGLISH,English 11,-,24.0,1.0,24.0,24.0,24.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,CTT,MATH,Integrated Algebra,-,34.0,1.0,34.0,34.0,34.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,CTT,MATH,Geometry,-,67.0,2.0,33.5,32.0,35.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,CTT,SCIENCE,Living Environment,-,66.0,2.0,33.0,31.0,35.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,CTT,SCIENCE,Other Science,-,26.0,1.0,26.0,26.0,26.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,SPEC ED,ENGLISH,English 10,-,16.0,1.0,16.0,16.0,16.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,SPEC ED,ENGLISH,English 11,-,15.0,1.0,15.0,15.0,15.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,SPEC ED,ENGLISH,English 12,-,8.0,1.0,8.0,8.0,8.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,SPEC ED,MATH,Geometry,-,14.0,1.0,14.0,14.0,14.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,SPEC ED,SCIENCE,Earth Science,-,12.0,1.0,12.0,12.0,12.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,SPEC ED,SCIENCE,Living Environment,-,13.0,1.0,13.0,13.0,13.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,SPEC ED,SOCIAL STUDIES,Global History & Geography,-,27.0,2.0,13.5,13.0,14.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,09-12,SPEC ED,SOCIAL STUDIES,US History & Government,-,14.0,1.0,14.0,14.0,14.0,STARS,,17,17K625
17,K,K625,Paul Robeson High School,,,,,,,,,,,,14.0,17,17K625
17,K,K770,P.S. 770 New American Academy,0K,GEN ED,-,-,-,54.0,1.0,54.0,54.0,54.0,ATS,,17,17K770
17,K,K770,P.S. 770 New American Academy,0K,CTT,-,-,-,8.0,1.0,8.0,8.0,8.0,ATS,,17,17K770
17,K,K770,P.S. 770 New American Academy,1,GEN ED,-,-,-,39.0,1.0,39.0,39.0,39.0,ATS,,17,17K770
17,K,K770,P.S. 770 New American Academy,1,CTT,-,-,-,9.0,1.0,9.0,9.0,9.0,ATS,,17,17K770
17,K,K770,P.S. 770 New American Academy,,,,,,,,,,,,15.0,17,17K770
18,K,K066,P.S. 66,0K,GEN ED,-,-,-,70.0,3.0,23.3,23.0,24.0,ATS,,18,18K066
18,K,K066,P.S. 66,1,GEN ED,-,-,-,74.0,3.0,24.7,23.0,26.0,ATS,,18,18K066
18,K,K066,P.S. 66,2,GEN ED,-,-,-,74.0,3.0,24.7,24.0,25.0,ATS,,18,18K066
18,K,K066,P.S. 66,3,GEN ED,-,-,-,77.0,3.0,25.7,25.0,26.0,ATS,,18,18K066
18,K,K066,P.S. 66,4,GEN ED,-,-,-,79.0,3.0,26.3,26.0,27.0,ATS,,18,18K066
18,K,K066,P.S. 66,5,GEN ED,-,-,-,48.0,2.0,24.0,24.0,24.0,ATS,,18,18K066
18,K,K066,P.S. 66,6,GEN ED,-,-,-,105.0,4.0,26.3,26.0,27.0,ATS,,18,18K066
18,K,K066,P.S. 66,7,GEN ED,-,-,-,99.0,4.0,24.8,24.0,25.0,ATS,,18,18K066
18,K,K066,P.S. 66,8,GEN ED,-,-,-,69.0,3.0,23.0,22.0,24.0,ATS,,18,18K066
18,K,K066,P.S. 66,0K-09,SPEC ED,-,-,12:1:1,21.0,2.0,10.5,9.0,12.0,ATS,,18,18K066
18,K,K066,P.S. 66,MS Core,GEN ED,ENGLISH,MS English Core,-,325.0,13.0,25.0,23.0,27.0,STARS,,18,18K066
18,K,K066,P.S. 66,MS Core,GEN ED,MATH,MS Math Core,-,274.0,11.0,24.9,23.0,27.0,STARS,,18,18K066
18,K,K066,P.S. 66,MS Core,GEN ED,SCIENCE,MS Science Core,-,274.0,11.0,24.9,23.0,27.0,STARS,,18,18K066
18,K,K066,P.S. 66,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,274.0,11.0,24.9,23.0,27.0,STARS,,18,18K066
18,K,K066,P.S. 66,,,,,,,,,,,,16.0,18,18K066
18,K,K068,I.S. 068 Isaac Bildersee,6,GEN ED,-,-,-,220.0,8.0,27.5,20.0,30.0,ATS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,6,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,7,GEN ED,-,-,-,237.0,9.0,26.3,20.0,30.0,ATS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,7,CTT,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,8,GEN ED,-,-,-,251.0,9.0,27.9,25.0,30.0,ATS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,8,CTT,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,0K-09,SPEC ED,-,-,12:1,32.0,4.0,8.0,2.0,12.0,ATS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,0K-09,SPEC ED,-,-,12:1:1,40.0,5.0,8.0,6.0,12.0,ATS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,GEN ED,ENGLISH,MS English Core,-,756.0,28.0,27.0,19.0,31.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,GEN ED,MATH,MS Math Core,-,651.0,24.0,27.1,19.0,31.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,GEN ED,MATH,Integrated Algebra,-,59.0,2.0,29.5,29.0,30.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,GEN ED,SCIENCE,MS Science Core,-,533.0,20.0,26.7,20.0,31.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,GEN ED,SCIENCE,Earth Science,-,222.0,8.0,27.8,19.0,30.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,756.0,28.0,27.0,19.0,31.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,CTT,ENGLISH,MS English Core,-,75.0,3.0,25.0,25.0,25.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,CTT,MATH,MS Math Core,-,75.0,3.0,25.0,25.0,25.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,CTT,SCIENCE,MS Science Core,-,50.0,2.0,25.0,25.0,25.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,CTT,SCIENCE,Earth Science,-,25.0,1.0,25.0,25.0,25.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,CTT,SOCIAL STUDIES,MS Social Studies Core,-,75.0,3.0,25.0,25.0,25.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,SPEC ED,ENGLISH,MS English Core,-,35.0,3.0,11.7,11.0,12.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,SPEC ED,MATH,MS Math Core,-,35.0,3.0,11.7,11.0,12.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,SPEC ED,SCIENCE,MS Science Core,-,35.0,3.0,11.7,11.0,12.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,MS Core,SPEC ED,SOCIAL STUDIES,MS Social Studies Core,-,35.0,3.0,11.7,11.0,12.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,09-12,GEN ED,SOCIAL STUDIES,Other Social Studies,-,301.0,11.0,27.4,19.0,30.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,09-12,CTT,SOCIAL STUDIES,Other Social Studies,-,25.0,1.0,25.0,25.0,25.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,09-12,SPEC ED,SOCIAL STUDIES,Other Social Studies,-,12.0,1.0,12.0,12.0,12.0,STARS,,18,18K068
18,K,K068,I.S. 068 Isaac Bildersee,,,,,,,,,,,,13.9,18,18K068
18,K,K114,P.S. 114 Ryder Elementary,0K,GEN ED,-,-,-,92.0,4.0,23.0,22.0,24.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,1,GEN ED,-,-,-,91.0,4.0,22.8,22.0,23.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,2,GEN ED,-,-,-,101.0,4.0,25.3,25.0,26.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,2,CTT,-,-,-,26.0,1.0,26.0,26.0,26.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,3,GEN ED,-,-,-,123.0,5.0,24.6,24.0,26.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,4,GEN ED,-,-,-,117.0,5.0,23.4,22.0,25.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,4,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,5,GEN ED,-,-,-,135.0,5.0,27.0,24.0,28.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,0K-09,SPEC ED,-,-,12:1:1,36.0,4.0,9.0,6.0,11.0,ATS,,18,18K114
18,K,K114,P.S. 114 Ryder Elementary,,,,,,,,,,,,15.1,18,18K114
18,K,K115,P.S. 115 Daniel Mucatel School,0K,GEN ED,-,-,-,142.0,6.0,23.7,23.0,25.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,0K,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,0K,G&T,-,-,-,15.0,1.0,15.0,15.0,15.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,1,GEN ED,-,-,-,170.0,6.0,28.3,26.0,29.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,1,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,1,G&T,-,-,-,31.0,1.0,31.0,31.0,31.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,2,GEN ED,-,-,-,190.0,7.0,27.1,26.0,29.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,2,G&T,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,3,GEN ED,-,-,-,202.0,7.0,28.9,26.0,30.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,3,G&T,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,4,GEN ED,-,-,-,183.0,6.0,30.5,29.0,32.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,4,G&T,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,5,GEN ED,-,-,-,180.0,7.0,25.7,24.0,29.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,5,G&T,-,-,-,21.0,1.0,21.0,21.0,21.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,0K-09,SPEC ED,-,-,12:1:1,30.0,3.0,10.0,7.0,12.0,ATS,,18,18K115
18,K,K115,P.S. 115 Daniel Mucatel School,,,,,,,,,,,,17.9,18,18K115
18,K,K135,P.S. 135 Sheldon A. Brookner,0K,GEN ED,-,-,-,108.0,5.0,21.6,19.0,24.0,ATS,,18,18K135
18,K,K135,P.S. 135 Sheldon A. Brookner,1,GEN ED,-,-,-,106.0,5.0,21.2,19.0,22.0,ATS,,18,18K135
18,K,K135,P.S. 135 Sheldon A. Brookner,2,GEN ED,-,-,-,101.0,4.0,25.3,24.0,27.0,ATS,,18,18K135
18,K,K135,P.S. 135 Sheldon A. Brookner,2,CTT,-,-,-,26.0,1.0,26.0,26.0,26.0,ATS,,18,18K135
18,K,K135,P.S. 135 Sheldon A. Brookner,3,GEN ED,-,-,-,117.0,5.0,23.4,23.0,24.0,ATS,,18,18K135
19,K,K158,P.S. 158 Warwick,4,GEN ED,-,-,-,71.0,3.0,23.7,22.0,25.0,ATS,,19,19K158
18,K,K135,P.S. 135 Sheldon A. Brookner,4,GEN ED,-,-,-,101.0,4.0,25.3,23.0,26.0,ATS,,18,18K135
18,K,K135,P.S. 135 Sheldon A. Brookner,4,CTT,-,-,-,27.0,1.0,27.0,27.0,27.0,ATS,,18,18K135
18,K,K135,P.S. 135 Sheldon A. Brookner,5,GEN ED,-,-,-,105.0,5.0,21.0,18.0,25.0,ATS,,18,18K135
18,K,K135,P.S. 135 Sheldon A. Brookner,0K-09,SPEC ED,-,-,12:1:1,29.0,3.0,9.7,8.0,11.0,ATS,,18,18K135
18,K,K135,P.S. 135 Sheldon A. Brookner,,,,,,,,,,,,14.7,18,18K135
18,K,K208,P.S. 208 Elsa Ebeling,0K,GEN ED,-,-,-,69.0,3.0,23.0,23.0,23.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,1,GEN ED,-,-,-,91.0,3.0,30.3,29.0,32.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,2,GEN ED,-,-,-,81.0,3.0,27.0,24.0,30.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,3,GEN ED,-,-,-,61.0,2.0,30.5,29.0,32.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,3,CTT,-,-,-,31.0,1.0,31.0,31.0,31.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,3,G&T,-,-,-,15.0,1.0,15.0,15.0,15.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,4,GEN ED,-,-,-,93.0,3.0,31.0,30.0,32.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,4,G&T,-,-,-,23.0,1.0,23.0,23.0,23.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,5,GEN ED,-,-,-,60.0,2.0,30.0,29.0,31.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,5,CTT,-,-,-,30.0,1.0,30.0,30.0,30.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,5,G&T,-,-,-,25.0,1.0,25.0,25.0,25.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,0K-09,SPEC ED,-,-,12:1:1,15.0,2.0,7.5,5.0,10.0,ATS,,18,18K208
18,K,K208,P.S. 208 Elsa Ebeling,,,,,,,,,,,,15.9,18,18K208
18,K,K211,I.S. 211 John Wilson,6,GEN ED,-,-,-,167.0,6.0,27.8,26.0,30.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,6,CTT,-,-,-,22.0,1.0,22.0,22.0,22.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,6,G&T,-,-,-,50.0,2.0,25.0,24.0,26.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,7,GEN ED,-,-,-,161.0,6.0,26.8,20.0,30.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,7,CTT,-,-,-,29.0,1.0,29.0,29.0,29.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,7,G&T,-,-,-,49.0,2.0,24.5,21.0,28.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,8,GEN ED,-,-,-,217.0,8.0,27.1,22.0,31.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,8,CTT,-,-,-,24.0,1.0,24.0,24.0,24.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,8,G&T,-,-,-,30.0,1.0,30.0,30.0,30.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,0K-09,SPEC ED,-,-,12:1,31.0,4.0,7.8,3.0,11.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,0K-09,SPEC ED,-,-,12:1:1,52.0,5.0,10.4,9.0,12.0,ATS,,18,18K211
18,K,K211,I.S. 211 John Wilson,MS Core,GEN ED,ENGLISH,MS English Core,-,827.0,31.0,26.7,21.0,30.0,STARS,,18,18K211
18,K,K211,I.S. 211 John Wilson,MS Core,GEN ED,MATH,MS Math Core,-,666.0,25.0,26.6,21.0,30.0,STARS,,18,18K211
18,K,K211,I.S. 211 John Wilson,MS Core,GEN ED,MATH,Integrated Algebra,-,92.0,2.0,46.0,36.0,56.0,STARS,,18,18K211
18,K,K211,I.S. 211 John Wilson,MS Core,GEN ED,SCIENCE,MS Science Core,-,581.0,22.0,26.4,21.0,30.0,STARS,,18,18K211
18,K,K211,I.S. 211 John Wilson,MS Core,GEN ED,SCIENCE,Earth Science,-,86.0,3.0,28.7,27.0,30.0,STARS,,18,18K211
18,K,K211,I.S. 211 John Wilson,MS Core,GEN ED,SOCIAL STUDIES,MS Social Studies Core,-,666.0,25.0,26.6,21.0,30.0,STARS,,18,18K211
18,K,K211,I.S. 211 John Wilson,MS Core,CTT,ENGLISH,MS English Core,-,98.0,4.0,24.5,22.0,30.0,STARS,,18,18K211
18,K,K211,I.S. 211 John Wilson,MS Core,CTT,MATH,MS Math Core,-,75.0,3.0,25.0,22.0,30.0,STARS,,18,18K211
